iter	Weibull_scale_IR(1.1)	Weibull_scale_IR(1.2)	Weibull_scale_SR(2.1)	Weibull_scale_SR(2.2)	Weibull_scale_ER(3.1)	Weibull_slope_ER(3.1)	Weibull_scale_ER(3.2)	Weibull_slope_ER(3.2)	LnPrior	LnData	LnPosterior
0	3.25958	1.7865	3.4633	0.730746	2.34335	4.52891	0.842267	5.87331	-1.271388e+001	-2.912777e+003	-2.925490e+003
1	3.25958	1.7865	2.24433	3.07535	2.34335	3.12096	1.27256	5.87331	-1.271388e+001	-2.450856e+003	-2.463570e+003
2	3.25958	1.16074	2.24433	3.07535	2.34335	2.8604	1.27256	5.87331	-1.271388e+001	-2.118223e+003	-2.130937e+003
3	3.25958	0.364229	3.02321	2.94201	2.34335	2.40903	1.27256	5.87331	-1.271388e+001	-1.665929e+003	-1.678643e+003
4	1.39395	0.364229	3.02321	2.94201	2.34335	2.26812	1.27256	5.87331	-1.271388e+001	-8.631184e+002	-8.758323e+002
5	1.39395	0.364229	3.02321	2.94201	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-8.639617e+002	-8.766756e+002
6	1.39395	0.364229	3.27227	2.94201	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-8.657161e+002	-8.784300e+002
7	1.39395	0.364229	2.84613	2.94201	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-8.633365e+002	-8.760504e+002
8	1.39395	0.364229	2.84613	2.94201	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-8.633365e+002	-8.760504e+002
9	0.37946	0.364229	2.84613	2.75642	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-3.082398e+002	-3.209537e+002
10	0.37946	0.196175	2.84613	2.75642	2.34335	2.03157	1.27256	5.79841	-1.271388e+001	-2.561692e+002	-2.688831e+002
11	0.37946	0.196175	2.84613	2.75642	2.34335	2.03157	1.27256	5.86586	-1.271388e+001	-2.553451e+002	-2.680590e+002
12	0.37946	0.196175	2.64831	2.75642	2.34335	2.16656	1.27256	5.86586	-1.271388e+001	-2.549140e+002	-2.676278e+002
13	0.37946	0.196175	2.64831	2.75642	2.34335	2.16656	1.27256	5.86586	-1.271388e+001	-2.549140e+002	-2.676278e+002
14	0.37946	0.196175	2.64831	2.75642	2.34335	2.16656	1.27256	5.86586	-1.271388e+001	-2.549140e+002	-2.676278e+002
15	0.37946	0.196175	2.64831	2.75642	2.34335	2.16656	1.27256	5.86586	-1.271388e+001	-2.549140e+002	-2.676278e+002
16	0.37946	0.196175	2.62435	2.75642	2.34335	2.16656	1.27256	5.86586	-1.271388e+001	-2.549680e+002	-2.676819e+002
17	0.37946	0.18005	2.80639	2.75642	2.34335	2.16656	1.37592	5.86586	-1.271388e+001	-2.396323e+002	-2.523462e+002
18	0.37946	0.18005	2.80639	2.75642	2.34335	2.16656	1.37592	5.86586	-1.271388e+001	-2.396323e+002	-2.523462e+002
19	0.37946	0.18005	2.80639	3.04501	2.34335	2.16656	1.37592	5.79697	-1.271388e+001	-2.390760e+002	-2.517899e+002
20	0.37946	0.18005	2.80639	3.04501	2.34335	2.16656	1.37592	5.79697	-1.271388e+001	-2.390760e+002	-2.517899e+002
21	0.37946	0.18005	2.80639	3.09114	2.34335	2.16656	1.37592	5.79697	-1.271388e+001	-2.390887e+002	-2.518026e+002
22	0.37946	0.18005	2.80639	3.09114	2.34335	2.16656	1.37592	5.80587	-1.271388e+001	-2.390548e+002	-2.517687e+002
23	0.37946	0.18005	2.43708	3.09114	2.34335	2.16656	1.37592	5.83286	-1.271388e+001	-2.399351e+002	-2.526489e+002
24	0.13465	0.18005	2.43708	3.09114	2.34335	2.16656	1.37592	5.92974	-1.271388e+001	-1.773478e+002	-1.900617e+002
25	0.13465	0.18005	2.43708	3.09114	2.47183	2.16656	1.37592	5.92974	-1.271388e+001	-1.768897e+002	-1.896036e+002
26	0.13465	0.18005	2.43708	3.27023	2.47183	2.16656	1.37592	5.91248	-1.271388e+001	-1.773160e+002	-1.900299e+002
27	0.13465	0.18005	3.0528	3.08518	2.47183	1.98418	1.37592	5.91248	-1.271388e+001	-1.759259e+002	-1.886398e+002
28	0.13465	0.18005	3.0528	3.08518	2.47183	1.98418	1.37592	5.91248	-1.271388e+001	-1.759259e+002	-1.886398e+002
29	0.13465	0.18005	2.85668	3.08518	2.47183	1.98418	1.37592	5.91248	-1.271388e+001	-1.751649e+002	-1.878788e+002
30	0.13465	0.18005	2.85668	3.08518	2.47183	1.98418	1.37592	5.91248	-1.271388e+001	-1.751649e+002	-1.878788e+002
31	0.13465	0.18005	2.85668	3.08518	2.47183	2.12971	1.37592	5.75127	-1.271388e+001	-1.762133e+002	-1.889272e+002
32	0.13465	0.18005	2.85668	3.08518	2.47183	2.12332	1.37592	5.85733	-1.271388e+001	-1.757562e+002	-1.884701e+002
33	0.13465	0.18005	2.90409	2.94379	2.47183	2.12332	1.37592	5.85733	-1.271388e+001	-1.759717e+002	-1.886856e+002
