iter	Weibull_scale_IR(1.1)	Weibull_scale_IR(1.2)	Weibull_scale_SR(2.1)	Weibull_scale_SR(2.2)	Weibull_scale_ER(3.1)	Weibull_slope_ER(3.1)	Weibull_scale_ER(3.2)	Weibull_slope_ER(3.2)	LnPrior	LnData	LnPosterior
0	4.10864	3.16759	4.21505	3.14878	1.61267	3.26334	1.34746	4.95529	-1.271388e+001	-3.313662e+003	-3.326376e+003
1	3.46776	2.37999	2.3888	3.14878	1.61267	3.26334	1.34746	5.15684	-1.271388e+001	-2.776670e+003	-2.789384e+003
2	3.46776	2.37999	2.91936	3.14878	2.10098	3.26334	1.34746	5.12936	-1.271388e+001	-2.768357e+003	-2.781071e+003
3	3.46776	1.2153	2.94651	3.14878	2.10098	3.26334	1.34746	5.12936	-1.271388e+001	-2.217051e+003	-2.229765e+003
4	2.51215	1.2153	2.94651	2.93612	2.10098	3.26334	1.34746	5.12936	-1.271388e+001	-1.856931e+003	-1.869645e+003
5	2.51215	1.04991	2.54984	2.93612	2.10098	3.09331	1.34746	5.12936	-1.271388e+001	-1.760565e+003	-1.773279e+003
6	2.49073	1.04991	2.54984	2.93612	2.10098	3.09331	1.34746	5.12936	-1.271388e+001	-1.751768e+003	-1.764482e+003
7	2.09909	0.230243	2.54984	3.06804	1.86383	3.09331	1.34746	5.12936	-1.271388e+001	-1.162218e+003	-1.174932e+003
8	2.09909	0.230243	2.54984	3.06804	1.86383	3.09331	1.34746	5.12936	-1.271388e+001	-1.162218e+003	-1.174932e+003
9	1.52569	0.230243	2.54984	3.06804	1.86383	3.09331	1.34746	5.12936	-1.271388e+001	-8.912742e+002	-9.039881e+002
10	0.151739	0.230243	2.54984	3.06804	1.86383	2.42724	1.52917	4.5561	-1.271388e+001	-1.939442e+002	-2.066581e+002
11	0.151739	0.230243	2.54984	3.06804	1.86383	2.42724	1.52917	4.5561	-1.271388e+001	-1.939442e+002	-2.066581e+002
12	0.151739	0.230243	2.54984	3.06804	1.86383	2.42724	1.52917	4.5561	-1.271388e+001	-1.939442e+002	-2.066581e+002
13	0.151739	0.230243	2.54984	3.06804	1.86383	2.42724	1.52917	4.5561	-1.271388e+001	-1.939442e+002	-2.066581e+002
14	0.138521	0.230243	2.54984	3.06804	2.13672	2.42724	1.52917	4.5561	-1.271388e+001	-1.827546e+002	-1.954685e+002
15	0.138521	0.230243	2.54984	2.86645	2.13672	2.42724	1.52917	4.5561	-1.271388e+001	-1.830604e+002	-1.957743e+002
16	0.138521	0.230243	2.54984	2.86645	2.13672	2.42724	1.52917	4.5561	-1.271388e+001	-1.830604e+002	-1.957743e+002
17	0.138521	0.230243	2.54984	2.86645	2.13672	2.42724	1.52917	4.5561	-1.271388e+001	-1.830604e+002	-1.957743e+002
