iter	Weibull_scale_IR(1.1)	Weibull_scale_IR(1.2)	Weibull_scale_SR(2.1)	Weibull_scale_SR(2.2)	Weibull_scale_ER(3.1)	Weibull_slope_ER(3.1)	Weibull_scale_ER(3.2)	Weibull_slope_ER(3.2)	LnPrior	LnData	LnPosterior
0	4.76903	3.85611	2.2741	0.872917	0.620348	4.98642	2.20709	2.59514	-1.271388e+001	-3.959074e+003	-3.971788e+003
1	2.47127	2.70294	2.2741	0.872917	0.297722	5.13956	2.20709	2.59514	-1.271388e+001	-2.756558e+003	-2.769272e+003
2	2.47127	2.70294	2.2741	4.07899	1.21984	5.13956	2.20709	2.59514	-1.271388e+001	-2.525051e+003	-2.537765e+003
3	1.05324	1.08127	2.2741	4.07899	1.21984	5.13956	2.20709	2.59514	-1.271388e+001	-1.089909e+003	-1.102623e+003
4	0.473121	1.08127	2.7815	4.07899	1.21984	5.13956	2.409	2.43197	-1.271388e+001	-7.579993e+002	-7.707132e+002
5	0.217582	1.08127	2.7815	4.07899	1.21984	5.13956	2.409	2.43197	-1.271388e+001	-6.522418e+002	-6.649557e+002
6	0.217582	1.08127	2.7989	4.07899	1.21984	5.26309	2.409	2.43197	-1.271388e+001	-6.507026e+002	-6.634165e+002
7	0.217582	0.457504	2.7989	4.07899	1.21984	5.26309	2.409	2.32478	-1.271388e+001	-3.032954e+002	-3.160093e+002
8	0.217582	0.457504	2.7989	3.14663	1.36669	5.30552	2.409	2.32478	-1.271388e+001	-2.714719e+002	-2.841858e+002
9	0.217582	0.457504	2.7989	3.14663	1.36669	5.30552	2.66671	2.32478	-1.271388e+001	-2.729946e+002	-2.857084e+002
10	0.217582	0.457504	2.7989	2.65632	1.36669	5.30552	2.66671	2.00476	-1.271388e+001	-2.697481e+002	-2.824620e+002
11	0.217582	0.457504	2.7989	2.52671	1.36669	5.65472	2.66671	2.00476	-1.271388e+001	-2.699152e+002	-2.826291e+002
12	0.217582	0.457504	2.7989	2.52671	1.36669	5.65472	2.66671	2.00476	-1.271388e+001	-2.699152e+002	-2.826291e+002
13	0.217582	0.457504	2.7989	3.44503	1.36669	5.65472	2.66671	2.00476	-1.271388e+001	-2.684975e+002	-2.812113e+002
14	0.217582	0.457504	2.7989	3.44503	1.36669	5.63183	2.64084	1.97914	-1.271388e+001	-2.689085e+002	-2.816224e+002
15	0.217582	0.457504	2.7989	3.44503	1.36669	5.63183	2.64084	1.97914	-1.271388e+001	-2.689085e+002	-2.816224e+002
16	0.217582	0.457504	2.7989	3.44503	1.36669	5.63183	2.64084	1.97914	-1.271388e+001	-2.689085e+002	-2.816224e+002
17	0.217582	0.457504	2.7989	3.44503	1.36669	5.63183	2.96266	1.97914	-1.271388e+001	-2.690941e+002	-2.818080e+002
18	0.217582	0.457504	2.7989	3.01927	1.36669	5.63183	2.63964	1.97914	-1.271388e+001	-2.677003e+002	-2.804142e+002
19	0.217582	0.457504	2.7989	3.01927	1.36669	5.63183	3.11795	1.97914	-1.271388e+001	-2.708474e+002	-2.835612e+002
20	0.217582	0.457504	2.7989	3.01927	1.36669	5.63183	2.73863	1.97914	-1.271388e+001	-2.668222e+002	-2.795361e+002
21	0.217582	0.457504	2.7989	3.28742	1.36669	5.63183	2.73863	1.97914	-1.271388e+001	-2.672688e+002	-2.799827e+002
22	0.217582	0.101427	2.7989	3.28742	1.36669	5.63183	2.6646	1.97914	-1.271388e+001	-1.836929e+002	-1.964068e+002
23	0.217582	0.20417	2.7989	3.28742	1.36669	5.63183	2.6646	1.97914	-1.271388e+001	-1.718970e+002	-1.846109e+002
